classifier,composition_factor,pearson_r,n_folds,note
RKHS-KNN,n_test_adhd,0.1226,75,
RKHS-KNN,n_test_control,,75,zero variance — correlation undefined
RKHS-KNN,class_balance_adhd,0.1226,75,
RKHS-KNN,duration_mean,0.0239,75,
RKHS-KNN,duration_std,0.0479,75,
RKHS-KNN,duration_range,-0.0502,75,
RKHS-KNN,duration_mean_adhd,-0.0356,75,
RKHS-KNN,duration_mean_ctrl,0.0942,75,
RKHS-KNN,duration_gap_adhd_minus_ctrl,-0.0803,75,
RKHS-SVM,n_test_adhd,0.1778,75,
RKHS-SVM,n_test_control,,75,zero variance — correlation undefined
RKHS-SVM,class_balance_adhd,0.1778,75,
RKHS-SVM,duration_mean,0.2265,75,
RKHS-SVM,duration_std,0.1911,75,
RKHS-SVM,duration_range,0.0961,75,
RKHS-SVM,duration_mean_adhd,0.0566,75,
RKHS-SVM,duration_mean_ctrl,0.3269,75,
RKHS-SVM,duration_gap_adhd_minus_ctrl,-0.1258,75,
PPK-KNN,n_test_adhd,0.1218,75,
PPK-KNN,n_test_control,,75,zero variance — correlation undefined
PPK-KNN,class_balance_adhd,0.1218,75,
PPK-KNN,duration_mean,-0.0051,75,
PPK-KNN,duration_std,0.2041,75,
PPK-KNN,duration_range,0.1692,75,
PPK-KNN,duration_mean_adhd,0.0488,75,
PPK-KNN,duration_mean_ctrl,-0.0949,75,
PPK-KNN,duration_gap_adhd_minus_ctrl,0.0919,75,
PPK-SVM,n_test_adhd,-0.0884,75,
PPK-SVM,n_test_control,,75,zero variance — correlation undefined
PPK-SVM,class_balance_adhd,-0.0884,75,
PPK-SVM,duration_mean,0.1195,75,
PPK-SVM,duration_std,-0.0179,75,
PPK-SVM,duration_range,-0.0063,75,
PPK-SVM,duration_mean_adhd,0.0386,75,
PPK-SVM,duration_mean_ctrl,0.1705,75,
PPK-SVM,duration_gap_adhd_minus_ctrl,-0.0579,75,
