config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc,best_T,best_rho,n_test_composition,n_test_adhd_composition,n_test_control_composition,class_balance_adhd,duration_mean,duration_std,duration_min,duration_max,duration_range,duration_mean_adhd,duration_mean_ctrl,duration_gap_adhd_minus_ctrl
N3G3,RKHS-KNN,r1f1,0,0,0,0.001,5.0,,,0.6770833333333334,25,12,13,96,48,48,11,9,3,2,0.8,0.7980769230769231,0.8461538461538461,0.75,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.891025641025641,0.6000124873825419,,,25,13,12,0.52,139.05904,55.1402558704316,81.656,337.906,256.25,153.25053846153847,123.68491666666667,29.565621794871802
N3G3,RKHS-KNN,r1f2,0,1,0,0.001,7.0,,,0.7414215686274509,24,12,12,97,48,49,9,6,6,3,0.625,0.625,0.75,0.5,0.6,0.75,0.6666666666666666,0.7569444444444445,0.2581988897471611,,,24,12,12,0.5,143.67525,56.15350360763827,62.367,276.0,213.633,156.019,131.3315,24.6875
N3G3,RKHS-KNN,r1f3,0,2,0,0.1,1.0,,,0.6685049019607843,24,12,12,97,48,49,9,11,1,3,0.8333333333333334,0.8333333333333333,0.75,0.9166666666666666,0.9,0.75,0.8181818181818182,0.8333333333333333,0.6761234037828132,,,24,12,12,0.5,135.37212499999998,33.2956763250158,84.875,212.164,127.28899999999999,139.278,131.46625,7.811749999999989
N3G3,RKHS-KNN,r1f4,0,3,0,0.1,5.0,,,0.8020833333333334,24,12,12,97,48,49,6,5,7,6,0.4583333333333333,0.4583333333333333,0.5,0.4166666666666667,0.4615384615384615,0.5,0.48,0.4652777777777778,-0.083624201000709,,,24,12,12,0.5,139.97783333333334,42.722653941405625,76.742,262.266,185.524,158.27666666666667,121.67900000000002,36.597666666666655
N3G3,RKHS-KNN,r1f5,0,4,0,0.001,3.0,,,0.7101715686274509,24,12,12,97,48,49,9,6,6,3,0.625,0.625,0.75,0.5,0.6,0.75,0.6666666666666666,0.8263888888888888,0.2581988897471611,,,24,12,12,0.5,141.32458333333332,54.51068565680827,81.852,304.922,223.07000000000002,166.25716666666668,116.392,49.86516666666668
N3G3,RKHS-KNN,r2f1,1,0,1,0.1,1.0,,,0.7395833333333334,25,12,13,96,48,48,9,6,6,4,0.6,0.5961538461538461,0.6923076923076923,0.5,0.6,0.6923076923076923,0.6428571428571429,0.5961538461538461,0.196116135138184,,,25,13,12,0.52,124.92932,54.5458432450173,72.547,337.906,265.35900000000004,135.27638461538461,113.71999999999998,21.55638461538463
N3G3,RKHS-KNN,r2f2,1,1,1,0.001,5.0,,,0.7512254901960785,24,12,12,97,48,49,9,4,8,3,0.5416666666666666,0.5416666666666666,0.75,0.3333333333333333,0.5294117647058824,0.75,0.6206896551724138,0.7152777777777778,0.0916698497028211,,,24,12,12,0.5,145.37083333333334,38.12269416167918,62.367,219.375,157.008,154.39658333333335,136.34508333333335,18.051500000000004
N3G3,RKHS-KNN,r2f3,1,2,1,0.1,7.0,,,0.7212009803921569,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.8402777777777777,0.4181210050035454,,,24,12,12,0.5,146.8315,54.47872162437448,81.852,304.922,223.07000000000002,159.26891666666668,134.39408333333336,24.874833333333328
N3G3,RKHS-KNN,r2f4,1,3,1,0.01,3.0,,,0.7009803921568628,24,12,12,97,48,49,6,10,2,6,0.6666666666666666,0.6666666666666667,0.5,0.8333333333333334,0.75,0.5,0.6,0.6944444444444445,0.3535533905932738,,,24,12,12,0.5,154.294625,56.42873842814839,84.875,276.0,191.125,187.42958333333334,121.15966666666668,66.26991666666666
N3G3,RKHS-KNN,r2f5,1,4,1,1.0,1.0,,,0.6513480392156863,24,12,12,97,48,49,7,11,1,5,0.75,0.75,0.5833333333333334,0.9166666666666666,0.875,0.5833333333333334,0.7,0.7500000000000001,0.5303300858899107,,,24,12,12,0.5,128.57129166666667,29.750063230446756,76.969,189.008,112.03900000000002,138.20775,118.93483333333332,19.27291666666669
N3G3,RKHS-KNN,r3f1,2,0,2,0.01,5.0,,,0.71875,25,12,13,96,48,48,11,7,5,2,0.72,0.7147435897435898,0.8461538461538461,0.5833333333333334,0.6875,0.8461538461538461,0.7586206896551724,0.9166666666666666,0.4470244293725349,,,25,13,12,0.52,148.91500000000002,53.16893227487271,62.367,304.922,242.55500000000004,160.75407692307692,136.08933333333331,24.66474358974361
N3G3,RKHS-KNN,r3f2,2,1,2,0.0031622776601683,7.0,,,0.6666666666666666,24,12,12,97,48,49,8,8,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8402777777777778,0.3333333333333333,,,24,12,12,0.5,138.69958333333332,55.48505024184965,81.852,337.906,256.054,155.9655,121.43366666666668,34.53183333333331
N3G3,RKHS-KNN,r3f3,2,2,2,0.0316227766016837,7.0,,,0.7408088235294118,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.826388888888889,0.50709255283711,,,24,12,12,0.5,136.72629166666667,36.05145767598595,84.93,236.508,151.578,144.09966666666668,129.3529166666667,14.746749999999992
N3G3,RKHS-KNN,r3f4,2,3,2,1.0,3.0,,,0.6905637254901961,24,12,12,97,48,49,8,7,5,4,0.625,0.625,0.6666666666666666,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.64,0.6458333333333334,0.2508726030021272,,,24,12,12,0.5,140.98575,44.12828991873778,77.297,262.266,184.96900000000002,162.97600000000003,118.99549999999999,43.980500000000035
N3G3,RKHS-KNN,r3f5,2,4,2,0.01,5.0,,,0.6703431372549019,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.826388888888889,0.50709255283711,,,24,12,12,0.5,133.67154166666668,53.411099081825895,72.547,276.0,203.453,148.66083333333333,118.68225,29.978583333333333
N3G3,RKHS-KNN,r4f1,3,0,3,0.3162277660168379,9.0,,,0.7083333333333334,25,12,13,96,48,48,11,5,7,2,0.64,0.6314102564102564,0.8461538461538461,0.4166666666666667,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.6987179487179487,0.2924396698824572,,,25,13,12,0.52,149.061,58.00218394523319,76.969,304.922,227.95300000000003,164.20976923076927,132.6498333333333,31.559935897435963
N3G3,RKHS-KNN,r4f2,3,1,3,0.001,1.0,,,0.7107843137254902,24,12,12,97,48,49,6,8,4,6,0.5833333333333334,0.5833333333333333,0.5,0.6666666666666666,0.6,0.5,0.5454545454545454,0.5833333333333334,0.1690308509457033,,,24,12,12,0.5,135.3835,42.05152569635619,72.547,267.117,194.57000000000002,142.1256666666667,128.64133333333334,13.484333333333353
N3G3,RKHS-KNN,r4f3,3,2,3,0.1,1.0,,,0.7015931372549019,24,12,12,97,48,49,7,9,3,5,0.6666666666666666,0.6666666666666667,0.5833333333333334,0.75,0.7,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.3380617018914066,,,24,12,12,0.5,145.55833333333334,60.74179649149747,76.742,337.906,261.164,166.7065,124.41016666666667,42.29633333333334
N3G3,RKHS-KNN,r4f4,3,3,3,1.0,1.0,,,0.6678921568627452,24,12,12,97,48,49,11,8,4,1,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7916666666666667,0.6024640760767094,,,24,12,12,0.5,134.65983333333335,41.52112954363971,62.367,219.375,157.008,153.57741666666666,115.74225,37.835166666666666
