config_tag,classifier,fold_id,repeat,fold,outer_seed,best_T,best_rho,best_k,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N4G4,PPK-KNN,r1f1,0,0,0,5,0.4,1,,0.7395833333333334,25,12,13,96,48,48,9,9,3,4,0.72,0.7211538461538461,0.6923076923076923,0.75,0.75,0.6923076923076923,0.72,0.7211538461538461,0.4423076923076923
N4G4,PPK-KNN,r1f2,0,1,0,7,0.55,9,,0.7935049019607843,24,12,12,97,48,49,6,7,5,6,0.5416666666666666,0.5416666666666667,0.5,0.5833333333333334,0.5454545454545454,0.5,0.5217391304347826,0.6736111111111112,0.08362420100070908
N4G4,PPK-KNN,r1f3,0,2,0,3,0.25,1,,0.7518382352941176,24,12,12,97,48,49,10,9,3,2,0.7916666666666666,0.7916666666666667,0.8333333333333334,0.75,0.7692307692307693,0.8333333333333334,0.8,0.7916666666666666,0.5853694070049635
N4G4,PPK-KNN,r1f4,0,3,0,5,0.55,3,,0.7928921568627452,24,12,12,97,48,49,9,7,5,3,0.6666666666666666,0.6666666666666667,0.75,0.5833333333333334,0.6428571428571429,0.75,0.6923076923076923,0.7152777777777777,0.3380617018914066
N4G4,PPK-KNN,r1f5,0,4,0,2,0.1,1,,0.7714460784313726,24,12,12,97,48,49,6,8,4,6,0.5833333333333334,0.5833333333333333,0.5,0.6666666666666666,0.6,0.5,0.5454545454545454,0.5833333333333334,0.1690308509457033
N4G4,PPK-KNN,r2f1,1,0,1,15,0.4,9,,0.8020833333333334,25,12,13,96,48,48,11,7,5,2,0.72,0.7147435897435898,0.8461538461538461,0.5833333333333334,0.6875,0.8461538461538461,0.7586206896551724,0.7628205128205128,0.44702442937253495
N4G4,PPK-KNN,r2f2,1,1,1,2,0.25,1,,0.792279411764706,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.7083333333333334,0.4181210050035454
N4G4,PPK-KNN,r2f3,1,2,1,3,0.4,3,,0.7616421568627452,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.7708333333333334,0.4181210050035454
N4G4,PPK-KNN,r2f4,1,3,1,2,0.4,1,,0.7530637254901961,24,12,12,97,48,49,10,9,3,2,0.7916666666666666,0.7916666666666667,0.8333333333333334,0.75,0.7692307692307693,0.8333333333333334,0.8,0.7916666666666666,0.5853694070049635
N4G4,PPK-KNN,r2f5,1,4,1,15,0.85,3,,0.7205882352941176,24,12,12,97,48,49,8,7,5,4,0.625,0.625,0.6666666666666666,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.64,0.7638888888888888,0.2508726030021272
N4G4,PPK-KNN,r3f1,2,0,2,7,0.55,3,,0.78125,25,12,13,96,48,48,12,9,3,1,0.84,0.8365384615384616,0.9230769230769231,0.75,0.8,0.9230769230769231,0.8571428571428571,0.903846153846154,0.6864064729836441
N4G4,PPK-KNN,r3f2,2,1,2,3,0.55,3,,0.8026960784313726,24,12,12,97,48,49,11,9,3,1,0.8333333333333334,0.8333333333333333,0.9166666666666666,0.75,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8368055555555555,0.6761234037828132
N4G4,PPK-KNN,r3f3,2,2,2,7,0.7,7,,0.7947303921568628,24,12,12,97,48,49,11,8,4,1,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8333333333333334,0.6024640760767094
N4G4,PPK-KNN,r3f4,2,3,2,3,0.4,3,,0.7941176470588235,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.8263888888888888,0.43033148291193524
N4G4,PPK-KNN,r3f5,2,4,2,2,0.4,3,,0.7830882352941176,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.8368055555555556,0.4181210050035454
N4G4,PPK-KNN,r4f1,3,0,3,2,0.4,7,,0.78125,25,12,13,96,48,48,13,4,8,0,0.68,0.6666666666666666,1.0,0.3333333333333333,0.6190476190476191,1.0,0.7647058823529411,0.8974358974358974,0.45425676257949793
N4G4,PPK-KNN,r4f2,3,1,3,2,0.1,3,,0.7830882352941176,24,12,12,97,48,49,8,8,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.3333333333333333
N4G4,PPK-KNN,r4f3,3,2,3,5,0.55,1,,0.7824754901960785,24,12,12,97,48,49,9,10,2,3,0.7916666666666666,0.7916666666666667,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.7916666666666667,0.5853694070049635
N4G4,PPK-KNN,r4f4,3,3,3,3,0.55,1,,0.7316176470588235,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.7083333333333334,0.43033148291193524
N4G4,PPK-KNN,r4f5,3,4,3,15,0.7,1,,0.7935049019607843,24,12,12,97,48,49,8,9,3,4,0.7083333333333334,0.7083333333333333,0.6666666666666666,0.75,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.7083333333333334,0.4181210050035454
N4G4,PPK-KNN,r5f1,4,0,4,1,0.25,5,,0.6875,25,12,13,96,48,48,12,4,8,1,0.64,0.6282051282051282,0.9230769230769231,0.3333333333333333,0.6,0.9230769230769231,0.7272727272727273,0.8397435897435898,0.32025630761017426
N4G4,PPK-KNN,r5f2,4,1,4,7,0.55,3,,0.7732843137254902,24,12,12,97,48,49,5,11,1,7,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8472222222222223,0.3849001794597505
N4G4,PPK-KNN,r5f3,4,2,4,2,0.25,1,,0.7408088235294118,24,12,12,97,48,49,9,12,0,3,0.875,0.875,0.75,1.0,1.0,0.75,0.8571428571428571,0.875,0.7745966692414834
N4G4,PPK-KNN,r5f4,4,3,4,7,0.55,1,,0.7843137254901961,24,12,12,97,48,49,8,6,6,4,0.5833333333333334,0.5833333333333333,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5833333333333333,0.1690308509457033
N4G4,PPK-KNN,r5f5,4,4,4,5,0.4,1,,0.8149509803921569,24,12,12,97,48,49,10,5,7,2,0.625,0.625,0.8333333333333334,0.4166666666666667,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.625,0.27500954910846337
