config_tag,classifier,fold_id,repeat,fold,outer_seed,best_T,best_rho,best_k,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N4G4,PPK-SVM,r1f1,0,0,0,5,0.25,,1.0,0.7604166666666666,25,12,13,96,48,48,11,5,7,2,0.64,0.6314102564102564,0.8461538461538461,0.4166666666666667,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.8012820512820513,0.2924396698824572
N4G4,PPK-SVM,r1f2,0,1,0,15,0.4,,10.0,0.7628676470588235,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7916666666666666,0.50709255283711
N4G4,PPK-SVM,r1f3,0,2,0,3,0.4,,1.0,0.7303921568627452,24,12,12,97,48,49,10,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9305555555555556,0.6666666666666666
N4G4,PPK-SVM,r1f4,0,3,0,10,0.85,,1.0,0.7745098039215685,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.6319444444444444,0.43033148291193524
N4G4,PPK-SVM,r1f5,0,4,0,2,0.55,,1.0,0.7303921568627452,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.8541666666666666,0.43033148291193524
N4G4,PPK-SVM,r2f1,1,0,1,3,0.25,,10.0,0.7916666666666666,25,12,13,96,48,48,8,6,6,5,0.56,0.5576923076923077,0.6153846153846154,0.5,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.6217948717948718,0.11613144917081457
N4G4,PPK-SVM,r2f2,1,1,1,7,0.7,,10.0,0.7628676470588235,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.6458333333333334,0.43033148291193524
N4G4,PPK-SVM,r2f3,1,2,1,15,0.55,,10.0,0.7316176470588235,24,12,12,97,48,49,11,10,2,1,0.875,0.875,0.9166666666666666,0.8333333333333334,0.8461538461538461,0.9166666666666666,0.88,0.8749999999999999,0.7526178090063816
N4G4,PPK-SVM,r2f4,1,3,1,15,0.7,,10.0,0.7518382352941176,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.8263888888888888,0.50709255283711
N4G4,PPK-SVM,r2f5,1,4,1,3,0.7,,10.0,0.7310049019607843,24,12,12,97,48,49,10,9,3,2,0.7916666666666666,0.7916666666666667,0.8333333333333334,0.75,0.7692307692307693,0.8333333333333334,0.8,0.861111111111111,0.5853694070049635
N4G4,PPK-SVM,r3f1,2,0,2,7,0.4,,10.0,0.7291666666666666,25,12,13,96,48,48,12,9,3,1,0.84,0.8365384615384616,0.9230769230769231,0.75,0.8,0.9230769230769231,0.8571428571428571,0.9102564102564104,0.6864064729836441
N4G4,PPK-SVM,r3f2,2,1,2,2,0.25,,100.0,0.7310049019607843,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8124999999999999,0.50709255283711
N4G4,PPK-SVM,r3f3,2,2,2,15,0.25,,100.0,0.8051470588235294,24,12,12,97,48,49,6,10,2,6,0.6666666666666666,0.6666666666666667,0.5,0.8333333333333334,0.75,0.5,0.6,0.7361111111111112,0.3535533905932738
N4G4,PPK-SVM,r3f4,2,3,2,3,0.55,,1.0,0.792279411764706,24,12,12,97,48,49,12,5,7,0,0.7083333333333334,0.7083333333333334,1.0,0.4166666666666667,0.631578947368421,1.0,0.7741935483870968,0.8055555555555556,0.5129891760425771
N4G4,PPK-SVM,r3f5,2,4,2,2,0.7,,100.0,0.7634803921568628,24,12,12,97,48,49,8,8,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.3333333333333333
N4G4,PPK-SVM,r4f1,3,0,3,15,0.55,,10.0,0.7916666666666666,25,12,13,96,48,48,11,6,6,2,0.68,0.6730769230769231,0.8461538461538461,0.5,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.7532051282051282,0.3707336495572356
N4G4,PPK-SVM,r4f2,3,1,3,3,0.1,,10.0,0.7622549019607843,24,12,12,97,48,49,7,9,3,5,0.6666666666666666,0.6666666666666667,0.5833333333333334,0.75,0.7,0.5833333333333334,0.6363636363636364,0.7152777777777777,0.3380617018914066
N4G4,PPK-SVM,r4f3,3,2,3,2,0.55,,1.0,0.7401960784313726,24,12,12,97,48,49,8,8,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8194444444444444,0.3333333333333333
N4G4,PPK-SVM,r4f4,3,3,3,1,0.25,,1.0,0.7322303921568628,24,12,12,97,48,49,10,6,6,2,0.6666666666666666,0.6666666666666667,0.8333333333333334,0.5,0.625,0.8333333333333334,0.7142857142857143,0.6458333333333333,0.3535533905932738
N4G4,PPK-SVM,r4f5,3,4,3,5,0.7,,1.0,0.7622549019607843,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7569444444444444,0.50709255283711
N4G4,PPK-SVM,r5f1,4,0,4,2,0.25,,100.0,0.7083333333333334,25,12,13,96,48,48,9,9,3,4,0.72,0.7211538461538461,0.6923076923076923,0.75,0.75,0.6923076923076923,0.72,0.8076923076923077,0.4423076923076923
N4G4,PPK-SVM,r5f2,4,1,4,1,0.1,,1.0,0.6887254901960785,24,12,12,97,48,49,10,11,1,2,0.875,0.875,0.8333333333333334,0.9166666666666666,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9444444444444444,0.7526178090063816
N4G4,PPK-SVM,r5f3,4,2,4,5,0.85,,100.0,0.6605392156862745,24,12,12,97,48,49,7,11,1,5,0.75,0.75,0.5833333333333334,0.9166666666666666,0.875,0.5833333333333334,0.7,0.8402777777777778,0.5303300858899107
N4G4,PPK-SVM,r5f4,4,3,4,15,0.55,,1.0,0.7935049019607843,24,12,12,97,48,49,9,4,8,3,0.5416666666666666,0.5416666666666666,0.75,0.3333333333333333,0.5294117647058824,0.75,0.6206896551724138,0.4513888888888889,0.09166984970282113
N4G4,PPK-SVM,r5f5,4,4,4,1,0.1,,1.0,0.792279411764706,24,12,12,97,48,49,11,3,9,1,0.5833333333333334,0.5833333333333333,0.9166666666666666,0.25,0.55,0.9166666666666666,0.6875,0.6041666666666667,0.22360679774997896
