config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N5G5,PPK-KNN,accuracy,0.7173,0.0662,0.6919,0.7436,0.5833,0.8333,25
N5G5,PPK-KNN,balanced_accuracy,0.7162,0.0663,0.6905,0.7426,0.5833,0.8333,25
N5G5,PPK-KNN,sensitivity,0.7656,0.1184,0.7205,0.8095,0.5,0.9231,25
N5G5,PPK-KNN,specificity,0.6667,0.1616,0.6067,0.73,0.4167,1.0,25
N5G5,PPK-KNN,precision,0.7192,0.104,0.6795,0.7615,0.5714,1.0,25
N5G5,PPK-KNN,recall,0.7656,0.1184,0.7205,0.8095,0.5,0.9231,25
N5G5,PPK-KNN,f1,0.7305,0.0619,0.7052,0.7548,0.6087,0.8333,25
N5G5,PPK-KNN,auc_roc,0.7777,0.073,0.7494,0.8068,0.5903,0.9375,25
N5G5,PPK-KNN,mcc,0.4499,0.134,0.3969,0.5025,0.169,0.6667,25
N5G5,PPK-SVM,accuracy,0.7304,0.1061,0.6905,0.77,0.5,0.88,25
N5G5,PPK-SVM,balanced_accuracy,0.7304,0.1064,0.6904,0.77,0.5,0.8782,25
N5G5,PPK-SVM,sensitivity,0.7774,0.1112,0.7331,0.8231,0.5833,1.0,25
N5G5,PPK-SVM,specificity,0.6833,0.1915,0.61,0.7567,0.1667,1.0,25
N5G5,PPK-SVM,precision,0.7339,0.1306,0.6854,0.7848,0.5,1.0,25
N5G5,PPK-SVM,recall,0.7774,0.1112,0.7331,0.8231,0.5833,1.0,25
N5G5,PPK-SVM,f1,0.7459,0.0889,0.7125,0.7803,0.6087,0.8889,25
N5G5,PPK-SVM,auc_roc,0.8004,0.1176,0.7558,0.8458,0.4722,0.9653,25
N5G5,PPK-SVM,mcc,0.4712,0.2169,0.3917,0.5529,0.0,0.7613,25
