config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N3G3,KNN,r1f1,0,0,0,0.001,5,,,0.6770833333333334,25,12,13,96,48,48,11,9,3,2,0.8,0.7980769230769231,0.8461538461538461,0.75,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.891025641025641,0.6000124873825419
N3G3,KNN,r1f2,0,1,0,0.001,7,,,0.7414215686274509,24,12,12,97,48,49,9,6,6,3,0.625,0.625,0.75,0.5,0.6,0.75,0.6666666666666666,0.7569444444444445,0.25819888974716115
N3G3,KNN,r1f3,0,2,0,0.1,1,,,0.6685049019607843,24,12,12,97,48,49,9,11,1,3,0.8333333333333334,0.8333333333333333,0.75,0.9166666666666666,0.9,0.75,0.8181818181818182,0.8333333333333333,0.6761234037828132
N3G3,KNN,r1f4,0,3,0,0.1,5,,,0.8020833333333334,24,12,12,97,48,49,6,5,7,6,0.4583333333333333,0.45833333333333337,0.5,0.4166666666666667,0.46153846153846156,0.5,0.48,0.4652777777777778,-0.08362420100070908
N3G3,KNN,r1f5,0,4,0,0.001,3,,,0.7101715686274509,24,12,12,97,48,49,9,6,6,3,0.625,0.625,0.75,0.5,0.6,0.75,0.6666666666666666,0.8263888888888888,0.25819888974716115
N3G3,KNN,r2f1,1,0,1,0.1,1,,,0.7395833333333334,25,12,13,96,48,48,9,6,6,4,0.6,0.5961538461538461,0.6923076923076923,0.5,0.6,0.6923076923076923,0.6428571428571429,0.5961538461538461,0.19611613513818404
N3G3,KNN,r2f2,1,1,1,0.001,5,,,0.7512254901960785,24,12,12,97,48,49,9,4,8,3,0.5416666666666666,0.5416666666666666,0.75,0.3333333333333333,0.5294117647058824,0.75,0.6206896551724138,0.7152777777777778,0.09166984970282113
N3G3,KNN,r2f3,1,2,1,0.1,7,,,0.7212009803921569,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.8402777777777777,0.4181210050035454
N3G3,KNN,r2f4,1,3,1,0.01,3,,,0.7009803921568628,24,12,12,97,48,49,6,10,2,6,0.6666666666666666,0.6666666666666667,0.5,0.8333333333333334,0.75,0.5,0.6,0.6944444444444445,0.3535533905932738
N3G3,KNN,r2f5,1,4,1,1.0,1,,,0.6513480392156863,24,12,12,97,48,49,7,11,1,5,0.75,0.75,0.5833333333333334,0.9166666666666666,0.875,0.5833333333333334,0.7,0.7500000000000001,0.5303300858899107
N3G3,KNN,r3f1,2,0,2,0.01,5,,,0.71875,25,12,13,96,48,48,11,7,5,2,0.72,0.7147435897435898,0.8461538461538461,0.5833333333333334,0.6875,0.8461538461538461,0.7586206896551724,0.9166666666666666,0.44702442937253495
N3G3,KNN,r3f2,2,1,2,0.0031622776601683794,7,,,0.6666666666666666,24,12,12,97,48,49,8,8,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8402777777777778,0.3333333333333333
