config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N4G4,SVM,r1f1,0,0,0,1.0,,0.025118864315095794,100.0,0.78125,25,12,13,96,48,48,9,10,2,4,0.76,0.7628205128205128,0.6923076923076923,0.8333333333333334,0.8181818181818182,0.6923076923076923,0.75,0.7756410256410257,0.5290432684448219
N4G4,SVM,r1f2,0,1,0,1.0,,0.00630957344480193,100.0,0.8033088235294118,24,12,12,97,48,49,9,7,5,3,0.6666666666666666,0.6666666666666667,0.75,0.5833333333333334,0.6428571428571429,0.75,0.6923076923076923,0.763888888888889,0.3380617018914066
N4G4,SVM,r1f3,0,2,0,1.0,,0.00630957344480193,100.0,0.7726715686274509,24,12,12,97,48,49,9,11,1,3,0.8333333333333334,0.8333333333333333,0.75,0.9166666666666666,0.9,0.75,0.8181818181818182,0.9583333333333334,0.6761234037828132
N4G4,SVM,r1f4,0,3,0,0.03162277660168379,,0.1,100.0,0.7536764705882352,24,12,12,97,48,49,5,6,6,7,0.4583333333333333,0.45833333333333337,0.4166666666666667,0.5,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.5555555555555556,-0.08362420100070908
N4G4,SVM,r1f5,0,4,0,1.0,,0.00630957344480193,10.0,0.7322303921568628,24,12,12,97,48,49,11,8,4,1,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8819444444444445,0.6024640760767094
N4G4,SVM,r2f1,1,0,1,0.03162277660168379,,0.1,100.0,0.75,25,12,13,96,48,48,9,7,5,4,0.64,0.6378205128205128,0.6923076923076923,0.5833333333333334,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.7884615384615384,0.2774251285747237
N4G4,SVM,r2f2,1,1,1,1.0,,0.00630957344480193,100.0,0.7818627450980392,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7847222222222222,0.50709255283711
N4G4,SVM,r2f3,1,2,1,0.1,,0.1,100.0,0.7420343137254902,24,12,12,97,48,49,12,8,4,0,0.8333333333333334,0.8333333333333333,1.0,0.6666666666666666,0.75,1.0,0.8571428571428571,0.8680555555555556,0.7071067811865476
N4G4,SVM,r2f4,1,3,1,0.03162277660168379,,0.1,100.0,0.7426470588235294,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7847222222222222,0.50709255283711
N4G4,SVM,r2f5,1,4,1,1.0,,0.00630957344480193,100.0,0.6703431372549019,24,12,12,97,48,49,10,9,3,2,0.7916666666666666,0.7916666666666667,0.8333333333333334,0.75,0.7692307692307693,0.8333333333333334,0.8,0.875,0.5853694070049635
