config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N5G5,KNN,r1f1,0,0,0,0.001,3,0.7292,25,12,13,96,48,48,11,6,6,2,0.68,0.6731,0.8462,0.5,0.6470588235294118,0.8462,0.7333,0.859,0.3707
N5G5,KNN,r1f2,0,1,0,0.003162,7,0.7623,24,12,12,97,48,49,9,7,5,3,0.6667,0.6667,0.75,0.5833,0.6428571428571429,0.75,0.6923,0.7222,0.3381
N5G5,KNN,r1f3,0,2,0,0.3162,3,0.6795,24,12,12,97,48,49,9,11,1,3,0.8333,0.8333,0.75,0.9167,0.9,0.75,0.8182,0.9792,0.6761
N5G5,KNN,r1f4,0,3,0,0.01,1,0.8339,24,12,12,97,48,49,7,6,6,5,0.5417,0.5417,0.5833,0.5,0.5384615384615384,0.5833,0.56,0.5417,0.0836
N5G5,KNN,r1f5,0,4,0,0.001,3,0.6991,24,12,12,97,48,49,9,5,7,3,0.5833,0.5833,0.75,0.4167,0.5625,0.75,0.6429,0.8125,0.1768
N5G5,KNN,r2f1,1,0,1,0.1,1,0.7083,25,12,13,96,48,48,10,6,6,3,0.64,0.6346,0.7692,0.5,0.625,0.7692,0.6897,0.6346,0.2802
N5G5,KNN,r2f2,1,1,1,1.0,9,0.761,24,12,12,97,48,49,10,6,6,2,0.6667,0.6667,0.8333,0.5,0.625,0.8333,0.7143,0.7917,0.3536
N5G5,KNN,r2f3,1,2,1,0.003162,9,0.731,24,12,12,97,48,49,11,9,3,1,0.8333,0.8333,0.9167,0.75,0.7857142857142857,0.9167,0.8462,0.8681,0.6761
N5G5,KNN,r2f4,1,3,1,0.03162,1,0.712,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6667,0.8333,0.8,0.6667,0.7273,0.75,0.5071
N5G5,KNN,r2f5,1,4,1,0.1,3,0.6691,24,12,12,97,48,49,11,8,4,1,0.7917,0.7917,0.9167,0.6667,0.7333333333333333,0.9167,0.8148,0.8715,0.6025
N5G5,KNN,r3f1,2,0,2,0.3162,9,0.7083,25,12,13,96,48,48,11,9,3,2,0.8,0.7981,0.8462,0.75,0.7857142857142857,0.8462,0.8148,0.859,0.6
N5G5,KNN,r3f2,2,1,2,0.03162,1,0.69,24,12,12,97,48,49,10,7,5,2,0.7083,0.7083,0.8333,0.5833,0.6666666666666666,0.8333,0.7407,0.7083,0.4303
N5G5,KNN,r3f3,2,2,2,0.001,3,0.7316,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7639,0.5
N5G5,KNN,r3f4,2,3,2,0.01,1,0.7322,24,12,12,97,48,49,10,5,7,2,0.625,0.625,0.8333,0.4167,0.5882352941176471,0.8333,0.6897,0.625,0.275
N5G5,KNN,r3f5,2,4,2,0.001,1,0.7335,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5
N5G5,KNN,r4f1,3,0,3,0.1,9,0.75,25,12,13,96,48,48,10,7,5,3,0.68,0.6763,0.7692,0.5833,0.6666666666666666,0.7692,0.7143,0.7821,0.3595
N5G5,KNN,r4f2,3,1,3,0.03162,1,0.7623,24,12,12,97,48,49,9,6,6,3,0.625,0.625,0.75,0.5,0.6,0.75,0.6667,0.625,0.2582
N5G5,KNN,r4f3,3,2,3,0.1,1,0.701,24,12,12,97,48,49,8,11,1,4,0.7917,0.7917,0.6667,0.9167,0.8888888888888888,0.6667,0.7619,0.7917,0.6025
N5G5,KNN,r4f4,3,3,3,0.1,1,0.6795,24,12,12,97,48,49,11,9,3,1,0.8333,0.8333,0.9167,0.75,0.7857142857142857,0.9167,0.8462,0.8333,0.6761
N5G5,KNN,r4f5,3,4,3,0.1,3,0.7616,24,12,12,97,48,49,8,7,5,4,0.625,0.625,0.6667,0.5833,0.6153846153846154,0.6667,0.64,0.6875,0.2509
N5G5,KNN,r5f1,4,0,4,0.01,1,0.6667,25,12,13,96,48,48,10,7,5,3,0.68,0.6763,0.7692,0.5833,0.6666666666666666,0.7692,0.7143,0.6763,0.3595
N5G5,KNN,r5f2,4,1,4,0.1,1,0.7108,24,12,12,97,48,49,7,9,3,5,0.6667,0.6667,0.5833,0.75,0.7,0.5833,0.6364,0.6667,0.3381
N5G5,KNN,r5f3,4,2,4,0.3162,1,0.6483,24,12,12,97,48,49,9,8,4,3,0.7083,0.7083,0.75,0.6667,0.6923076923076923,0.75,0.72,0.7083,0.4181
N5G5,KNN,r5f4,4,3,4,0.31622776601683794,1,0.8241421568627452,24,12,12,97,48,49,5,9,3,7,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.75,0.625,0.4166666666666667,0.5,0.5833333333333334,0.1767766952966369
N5G5,KNN,r5f5,4,4,4,0.03162277660168379,1,0.7328431372549019,24,12,12,97,48,49,12,8,4,0,0.8333333333333334,0.8333333333333333,1.0,0.6666666666666666,0.75,1.0,0.8571428571428571,0.8333333333333334,0.7071067811865476
