config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N5G5,KNN,accuracy,0.7059,0.0853,0.6723,0.7397,0.5417,0.8333,25
N5G5,KNN,balanced_accuracy,0.705,0.0856,0.6715,0.739,0.5417,0.8333,25
N5G5,KNN,sensitivity,0.7633,0.1215,0.7151,0.809,0.4167,1.0,25
N5G5,KNN,specificity,0.6467,0.14,0.59,0.7,0.4167,0.9167,25
N5G5,KNN,precision,0.6956,0.0931,0.6606,0.734,0.5385,0.9,25
N5G5,KNN,recall,0.7633,0.1215,0.7151,0.809,0.4167,1.0,25
N5G5,KNN,f1,0.7216,0.0852,0.6878,0.755,0.5,0.8571,25
N5G5,KNN,auc_roc,0.749,0.1027,0.7101,0.7875,0.5417,0.9792,25
N5G5,KNN,mcc,0.4207,0.1736,0.3524,0.4895,0.0836,0.7071,25
N5G5,SVM,accuracy,0.7119,0.11,0.6683,0.7534,0.4583,0.88,25
N5G5,SVM,balanced_accuracy,0.7117,0.11,0.6679,0.7531,0.4583,0.8814,25
N5G5,SVM,sensitivity,0.7267,0.1224,0.6784,0.7749,0.5,1.0,25
N5G5,SVM,specificity,0.6967,0.1681,0.63,0.76,0.3333,0.9167,25
N5G5,SVM,precision,0.7219,0.1215,0.6739,0.768,0.4667,0.9167,25
N5G5,SVM,recall,0.7267,0.1224,0.6784,0.7749,0.5,1.0,25
N5G5,SVM,f1,0.7179,0.1013,0.6776,0.7555,0.5,0.88,25
N5G5,SVM,auc_roc,0.7988,0.0987,0.7591,0.8371,0.5347,0.9653,25
N5G5,SVM,mcc,0.431,0.2237,0.3428,0.5156,-0.0861,0.7628,25
