fold_id,balanced_accuracy_rkhs,balanced_accuracy_ppk,config_tag,classifier
r1f1,0.7980769230769231,0.9198717948717948,N3G3,KNN
r1f2,0.625,0.625,N3G3,KNN
r1f3,0.8333333333333333,0.9166666666666666,N3G3,KNN
r1f4,0.4583333333333333,0.5416666666666667,N3G3,KNN
r1f5,0.625,0.75,N3G3,KNN
r2f1,0.5961538461538461,0.7532051282051282,N3G3,KNN
r2f2,0.5416666666666666,0.5,N3G3,KNN
r2f3,0.7083333333333333,0.7083333333333333,N3G3,KNN
r2f4,0.6666666666666667,0.7083333333333333,N3G3,KNN
r2f5,0.75,0.75,N3G3,KNN
r3f1,0.7147435897435898,0.7980769230769231,N3G3,KNN
r3f2,0.6666666666666666,0.625,N3G3,KNN
r3f3,0.75,0.5833333333333334,N3G3,KNN
r3f4,0.625,0.7083333333333334,N3G3,KNN
r3f5,0.75,0.7083333333333333,N3G3,KNN
r4f1,0.6314102564102564,0.7564102564102564,N3G3,KNN
r4f2,0.5833333333333333,0.5833333333333333,N3G3,KNN
r4f3,0.6666666666666667,0.875,N3G3,KNN
r4f4,0.7916666666666666,0.7083333333333333,N3G3,KNN
r4f5,0.5833333333333333,0.75,N3G3,KNN
r5f1,0.717948717948718,0.6794871794871795,N3G3,KNN
r5f2,0.5416666666666667,0.8333333333333333,N3G3,KNN
r5f3,0.75,0.8333333333333334,N3G3,KNN
r5f4,0.5416666666666666,0.6666666666666666,N3G3,KNN
r5f5,0.6666666666666666,0.7916666666666666,N3G3,KNN
r1f1,0.7948717948717949,0.7211538461538461,N4G4,KNN
r1f2,0.5833333333333334,0.5416666666666667,N4G4,KNN
r1f3,0.75,0.7916666666666667,N4G4,KNN
r1f4,0.4583333333333333,0.6666666666666667,N4G4,KNN
r1f5,0.75,0.5833333333333333,N4G4,KNN
r2f1,0.6730769230769231,0.7147435897435898,N4G4,KNN
r2f2,0.5416666666666666,0.7083333333333333,N4G4,KNN
r2f3,0.7916666666666666,0.7083333333333333,N4G4,KNN
r2f4,0.7083333333333334,0.7916666666666667,N4G4,KNN
r2f5,0.75,0.625,N4G4,KNN
r3f1,0.8846153846153846,0.8365384615384616,N4G4,KNN
r3f2,0.7083333333333333,0.8333333333333333,N4G4,KNN
r3f3,0.75,0.7916666666666666,N4G4,KNN
r3f4,0.75,0.7083333333333334,N4G4,KNN
r3f5,0.7083333333333333,0.7083333333333333,N4G4,KNN
r4f1,0.592948717948718,0.6666666666666666,N4G4,KNN
r4f2,0.5416666666666667,0.6666666666666666,N4G4,KNN
r4f3,0.7083333333333333,0.7916666666666667,N4G4,KNN
r4f4,0.75,0.7083333333333334,N4G4,KNN
r4f5,0.5,0.7083333333333333,N4G4,KNN
r5f1,0.7532051282051282,0.6282051282051282,N4G4,KNN
r5f2,0.5833333333333333,0.6666666666666666,N4G4,KNN
r5f3,0.7916666666666667,0.875,N4G4,KNN
r5f4,0.625,0.5833333333333333,N4G4,KNN
r5f5,0.6666666666666666,0.625,N4G4,KNN
r1f1,0.6731,0.7147435897435898,N5G5,KNN
r1f2,0.6667,0.6666666666666667,N5G5,KNN
r1f3,0.8333,0.7916666666666666,N5G5,KNN
r1f4,0.5417,0.5833333333333333,N5G5,KNN
r1f5,0.5833,0.75,N5G5,KNN
r2f1,0.6346,0.7115384615384616,N5G5,KNN
r2f2,0.6667,0.5833333333333333,N5G5,KNN
r2f3,0.8333,0.7083333333333334,N5G5,KNN
r2f4,0.75,0.7916666666666667,N5G5,KNN
r2f5,0.7917,0.7083333333333333,N5G5,KNN
r3f1,0.7981,0.7115384615384616,N5G5,KNN
r3f2,0.7083,0.75,N5G5,KNN
r3f3,0.75,0.625,N5G5,KNN
r3f4,0.625,0.7916666666666666,N5G5,KNN
r3f5,0.75,0.7916666666666667,N5G5,KNN
r4f1,0.6763,0.6730769230769231,N5G5,KNN
r4f2,0.625,0.625,N5G5,KNN
r4f3,0.7917,0.8333333333333334,N5G5,KNN
r4f4,0.8333,0.7916666666666667,N5G5,KNN
r4f5,0.625,0.75,N5G5,KNN
r5f1,0.6763,0.7596153846153846,N5G5,KNN
r5f2,0.6667,0.75,N5G5,KNN
r5f3,0.7083,0.7083333333333334,N5G5,KNN
r5f4,0.5833333333333334,0.6666666666666666,N5G5,KNN
r5f5,0.8333333333333333,0.6666666666666666,N5G5,KNN
r1f1,0.7628205128205128,0.6378205128205128,N3G3,SVM
r1f2,0.7916666666666667,0.625,N3G3,SVM
r1f3,0.8333333333333333,0.7916666666666667,N3G3,SVM
r1f4,0.625,0.7083333333333334,N3G3,SVM
r1f5,0.7083333333333334,0.75,N3G3,SVM
r2f1,0.7115384615384616,0.5576923076923077,N3G3,SVM
r2f2,0.7083333333333334,0.5416666666666666,N3G3,SVM
r2f3,0.8333333333333333,0.875,N3G3,SVM
r2f4,0.75,0.7083333333333334,N3G3,SVM
r2f5,0.7916666666666667,0.75,N3G3,SVM
r3f1,0.8012820512820513,0.8333333333333333,N3G3,SVM
r3f2,0.8333333333333333,0.7916666666666667,N3G3,SVM
r3f3,0.7083333333333333,0.6666666666666667,N3G3,SVM
r3f4,0.625,0.7083333333333333,N3G3,SVM
r3f5,0.7083333333333334,0.5416666666666667,N3G3,SVM
r4f1,0.7564102564102564,0.6346153846153846,N3G3,SVM
r4f2,0.5,0.6666666666666666,N3G3,SVM
r4f3,0.8333333333333333,0.7083333333333333,N3G3,SVM
r4f4,0.6666666666666666,0.75,N3G3,SVM
r4f5,0.7083333333333333,0.6666666666666667,N3G3,SVM
r5f1,0.8012820512820513,0.641025641025641,N3G3,SVM
r5f2,0.8333333333333334,0.9166666666666669,N3G3,SVM
r5f3,0.875,0.8333333333333333,N3G3,SVM
r5f4,0.5416666666666667,0.5416666666666666,N3G3,SVM
r5f5,0.6666666666666666,0.7916666666666667,N3G3,SVM
r1f1,0.7628205128205128,0.6314102564102564,N4G4,SVM
r1f2,0.6666666666666667,0.75,N4G4,SVM
r1f3,0.8333333333333333,0.8333333333333334,N4G4,SVM
r1f4,0.4583333333333333,0.7083333333333334,N4G4,SVM
r1f5,0.7916666666666666,0.7083333333333334,N4G4,SVM
r2f1,0.6378205128205128,0.5576923076923077,N4G4,SVM
r2f2,0.75,0.7083333333333334,N4G4,SVM
r2f3,0.8333333333333333,0.875,N4G4,SVM
r2f4,0.75,0.75,N4G4,SVM
r2f5,0.7916666666666667,0.7916666666666667,N4G4,SVM
r3f1,0.7596153846153846,0.8365384615384616,N4G4,SVM
r3f2,0.7083333333333334,0.75,N4G4,SVM
r3f3,0.75,0.6666666666666667,N4G4,SVM
r3f4,0.7083333333333333,0.7083333333333334,N4G4,SVM
r3f5,0.6666666666666667,0.6666666666666666,N4G4,SVM
r4f1,0.7564102564102564,0.6730769230769231,N4G4,SVM
r4f2,0.6666666666666667,0.6666666666666667,N4G4,SVM
r4f3,0.7916666666666667,0.6666666666666666,N4G4,SVM
r4f4,0.7083333333333333,0.6666666666666667,N4G4,SVM
r4f5,0.75,0.75,N4G4,SVM
r5f1,0.8365384615384616,0.7211538461538461,N4G4,SVM
r5f2,0.875,0.875,N4G4,SVM
r5f3,0.875,0.75,N4G4,SVM
r5f4,0.4166666666666667,0.5416666666666666,N4G4,SVM
r5f5,0.5833333333333334,0.5833333333333333,N4G4,SVM
r1f1,0.7628205128205128,0.8461538461538461,N5G5,SVM
r1f2,0.75,0.5833333333333333,N5G5,SVM
r1f3,0.8333333333333333,0.875,N5G5,SVM
r1f4,0.5,0.6666666666666667,N5G5,SVM
r1f5,0.7916666666666667,0.7916666666666666,N5G5,SVM
r2f1,0.6378205128205128,0.641025641025641,N5G5,SVM
r2f2,0.75,0.6666666666666667,N5G5,SVM
r2f3,0.8333333333333334,0.75,N5G5,SVM
r2f4,0.75,0.75,N5G5,SVM
r2f5,0.7083333333333333,0.8333333333333333,N5G5,SVM
r3f1,0.8814102564102564,0.7980769230769231,N5G5,SVM
